peak_ID,zv9_target,Z9_chr,Z9_start,Z9_end,G10_chr,G10_start,G10_end,G10_short_chr,G10_short_start,G10_short_end,GFP_score,noGFP_score,labels
GFP_NFR_fo_1,mrpl39,chr1,432144,432328,chr1,562268,562452,chr1,562299,562423,6.79,4.12,PSAE
GFP_NFR_fo_10,eed,chr1,593188,593790,chr1,22189,22791,chr1,22538,22662,6.98,5.11,PSAE
GFP_NFR_fo_100,nt5c2b,chr1,31287844,31288051,chr1,31101304,31101511,chr1,31101352,31101476,6.4,4.67,PSAE
GFP_NFR_fo_1000,eif1ad,chr14,8411630,8411812,chr14,8134874,8135056,chr14,8134898,8135022,6.76,3.32,PSAE
GFP_NFR_fo_1001,eif1ad,chr14,8411927,8412074,chr14,8135171,8135318,chr14,8135123,8135247,6.49,3.51,PSAE
GFP_NFR_fo_1003,zgc:162240,chr14,8434551,8434672,chr14,8157795,8157916,chr14,8157781,8157905,5.96,3.41,PSAE
GFP_NFR_fo_1004,irg1l,chr14,11615350,11615703,chr14,11110707,11111060,chr14,11110871,11110995,6.76,4.04,PSAE
GFP_NFR_fo_1005,znf6,chr14,12081849,12081990,chr14,11517622,11517763,chr14,11517655,11517779,5.37,3.41,PSAE
GFP_NFR_fo_1006,znf6,chr14,12271039,12271257,chr14,11706812,11707030,chr14,11706862,11706986,5.59,4.04,PSAE
GFP_NFR_fo_1007,zgc:66447,chr14,12327771,12327967,chr14,11763544,11763740,chr14,11763578,11763702,6.36,4.94,PSAE
GFP_NFR_fo_1008,zgc:66447,chr14,12332944,12333100,chr14,11768717,11768873,chr14,11768752,11768876,5.75,4.41,PSAE
GFP_NFR_fo_1009,magt1,chr14,12697873,12698059,chr14,12133646,12133832,chr14,12133661,12133785,5.93,4.01,PSAE
GFP_NFR_fo_101,zgc:174320,chr1,32316901,32317017,chr1,32031689,32031805,chr1,32031669,32031793,6.07,4.88,PSAE
GFP_NFR_fo_1010,magt1,chr14,12699763,12700124,chr14,12135536,12135897,chr14,12135635,12135759,7.1,3.88,PSAE
GFP_NFR_fo_1011,magt1,chr14,12700490,12700776,chr14,12136263,12136549,chr14,12136373,12136497,7.47,4.98,PSAE
GFP_NFR_fo_1012,pls3,chr14,13710867,13711036,chr14,13146640,13146809,chr14,13146680,13146804,6.12,4.89,PSAE
GFP_NFR_fo_1013,canx,chr14,14274675,14274856,chr14,16286625,16286806,chr14,16286604,16286728,5.01,3.06,PSAE
GFP_NFR_fo_1014,slc43a3b,chr14,14968792,14968966,chr14,16830778,16830952,chr14,16830795,16830919,6.22,3.63,PSAE
GFP_NFR_fo_1015,slc43a3b,chr14,14969200,14969384,chr14,16831186,16831370,chr14,16831237,16831361,6.93,5.33,PSAE
GFP_NFR_fo_1016,wfs1b,chr14,15165166,15165637,chr14,17027152,17027623,chr14,17027187,17027311,7.54,6.54,PSAE
GFP_NFR_fo_1017,cnga5,chr14,17213970,17214306,chr14,13709424,13709760,chr14,13709463,13709587,6.38,5.33,PSAE
GFP_NFR_fo_1018,olfcg1,chr14,17734565,17734861,chr18,32846830,32847126,chr18,32846863,32846987,5.64,4.39,PSAE
GFP_NFR_fo_1019,znf185,chr14,18543147,18543302,chr14,14337600,14337755,chr14,14337649,14337773,6.53,4.65,PSAE
GFP_NFR_fo_102,gyg2,chr1,33006714,33007131,chr1,32608894,32609311,chr1,32608986,32609110,7.95,6.68,PSAE
GFP_NFR_fo_1020,znf185,chr14,18544604,18544934,chr14,14339057,14339387,chr14,14339191,14339315,7.64,5.3,PSAE
GFP_NFR_fo_1021,nsdhl,chr14,18550791,18550935,chr14,14345244,14345388,chr14,14345225,14345349,6.03,3.65,PSAE
